name	media type	episode count	dates aired	rating
Haikyuu!!: Tokushuu! Haru-kou Volley ni Kaketa Seishun	OVA	1	Aug 4, 2017	7.50
Haikyuu!! (Shin Series)	TV	Unknown	Not available	N/A
Haikyuu!!: vs. "Akaten"	OVA	1	May 2, 2016	7.72
Haikyuu!! Quest Picture Drama	OVA	3	Sep 25, 2014	6.53
Ore Koi!!	Manga	NULL	NULL	6.75
Ore Monogatari!!	Manga	NULL	NULL	8.18
Ore Ride!!	One-shot	NULL	NULL	7.24
Ao Haru Ride	Manga	NULL	NULL	8.29
Ao Haru Ride	Novel	NULL	NULL	8.31
Ao Haru Ride: Special Booklet	One-shot	NULL	NULL	7.49
Ao Haru Ride: Awaken	Manga	NULL	NULL	7.98
Ao Haru Ride OVA	OVA	2	Aug 25, 2014 to Dec 12, 2014	7.70
Ao Haru Ride	TV	12	Jul 8, 2014 to Sep 23, 2014	7.80
Strobe Edge	Manga	NULL	NULL	8.16
Ore Monogatari!!	TV	24	Apr 9, 2015 to Sep 24, 2015	8.05
Nisekoi: Urabana	Novel	NULL	NULL	7.50
Nisekoi Bangai-hen: Ticket	One-shot	NULL	NULL	7.11
Magical Pâtissière Kosaki-chan!!	Manga	NULL	NULL	6.96
Nisekoi:	TV	12	Apr 10, 2015 to Jun 26, 2015	7.49
Nisekoi OVA	OVA	3	Oct 3, 2014 to Apr 3, 2015	7.49
Nisekoi: OVA	OVA	2	Jan 4, 2016	7.17
Nekomonogatari: Kuro Recap	Special	1	Mar 6, 2013	6.92
Bakemonogatari	Manga	NULL	NULL	8.49
Monogatari Series: Second Season - Shinbun Koukoku Zenshuu	Novel	NULL	NULL	7.59
